twic,pgn,time_class,white_clock,black_clock
120m:60m,40/7200:3600,Standard,,
10m/7m 3spm(61)Armageddon,60/600:0+3,Rapid,0:10:00,0:07:00
120m:30m+30spm(41),40/7200:1800+30,Standard,,
70m+30spm(1),4200+30,Standard,,
13m+2spm,780+2,Rapid,,
105m+30spm(1),6300+30,Standard,,
105m(40)+30m+30spm,40/6300+30:1800+30,Standard,,
120m:25m+5spm(41),40/7200:1500+5,Standard,,
30m+20spm,1800+20,Rapid,,
60m+30spm,3600+30,Standard,,
90m+15spm,5400+15,Standard,,
5m:vs:4m,300,Blitz,0:05:00,0:04:00
120m+10spm(40),40/7200:0+10,Standard,,
100m(40)+60m+30sec Delay,40/6000+30d:3600+30d,Standard,,
100m:40m+30smp(1),40/6000+30:2400+30,Standard,,
70m+5spm(1),4200+5,Standard,,
25m,1500,Rapid,,
60m,3600,Standard,,
30m,1800,Rapid,,
75m+5spm(1),4500+5,Standard,,
120m,7200,Standard,,
120m:60m+5spm(41),40/7200:3600+5,Standard,,
90m:40m+30spm(1),40/5400+30:2400+30,Standard,,
3m+2spm,180+2,Blitz,,
7m+3spm,420+3,Blitz,,
8m+3spm,480+3,Rapid,,
120m(40)+45m+10spm,40/7200+10:2700+10,Standard,,
40m,2400,Rapid,,
110m(40)+30m,40/6600:1800,Standard,,
110m+5spm,6600+5,Standard,,
70m+10spm(1),4200+10,Standard,,
10m+5spm,600+5,Rapid,,
90m+35spm(1),5400+35,Standard,,
60m+7spm,3600+7,Standard,,
12m,720,Rapid,,
105m+10m+5spm(41),40/6300:600+5,Standard,,
80m(40):20m+30spm,40/4800:1200+30,Standard,,
15m+12spm,900+12,Rapid,,
40m+5spm,2400+5,Rapid,,
120m+30spm(40),40/7200:0+30,Standard,,
12m+2spm,720+2,Rapid,,
120m+30m,40/7200:1800,Standard,,
25m+2spm,1500+2,Rapid,,
3m,180,Blitz,,
100m:50m:15m+30spm(1),40/6000+30:20/4500+30:900+30,Standard,,
90m+45spm(1),5400+45,Standard,,
45m+30spm,2700+30,Standard,,
5m+2spm,300+2,Blitz,,
30m+15spm,1800+15,Rapid,,
25m+10spm,1500+10,Rapid,,
75m+30spm(1),4500+30,Standard,,
20m+10spm,1200+10,Rapid,,
75m+10spm(1),4500+10,Standard,,
75m:15m:30spm(1),40/4500+30:900+30,Standard,,
25m+15spm,1500+15,Rapid,,
5m+3spm,300+3,Blitz,,
40m+30spm,2400+30,Standard,,
120m+5spm,7200+5,Standard,,
15m+6spm,900+6,Rapid,,
120m:30m+30spm,40/7200+30:1800+30,Standard,,
70m+5spm,4200+5,Standard,,
100m+30spm,6000+30,Standard,,
15m+3spm,900+3,Rapid,,
10m+10spm,600+10,Rapid,,
85m:20m+30spm(1),40/5100+30:1200+30,Standard,,
90m:15m:10spm(1),40/5400+10:900+10,Standard,,
60m+5sd,3600+5d,Standard,,
90m:20m+30spm(1),40/5400+30:1200+30,Standard,,
90m+5spm(1),5400+5,Standard,,
60m(40)+15m,40/3600:900,Standard,,
120m+15spm,7200+15,Standard,,
3m+3spm,180+3,Blitz,,
120m(40)+60m+30spm,40/7200+30:3600+30,Standard,,
8m+4spm,540+4,Rapid,,
75m(40)+15m,40/4500:900,Standard,,
150m(40)+adj,9000,Standard,,
5vs4Arm,300,Blitz,0:05:00,0:04:00
110m+10spm(1),6600+10,Standard,,
100m:50m:10m+30spm(1),40/6600+30:20/3000+30:600+30,Standard,,
45m+15spm,2700+15,Standard,,
10m/7m 1spm(41)Armageddon,40/600:0+1,Rapid,0:10:00,0:07:00
5mvs3m Armageddon,300,Blitz,0:05:00,0:03:00
10m,600,Blitz,,
105m+15m,40/6300:900,Standard,,
25m+5spm,1500+5,Rapid,,
60m+15spm,3600+15,Standard,,
90m:30m,40/5400:1800,Standard,,
120m+10spm,7200+10,Standard,,
6m+5spm,360+5,Rapid,,
1m,60,Blitz,,
90m+30spm(40)+120m,40/5400:7200+30,Standard,,
7m+2spm(1),420+2,Blitz,,
100m+10spm,6000+10,Standard,,
45m+10spm,2700+10,Rapid,,
40m+10spm,2400+10,Rapid,,
100m:30m+30spm(1),40/6000+30:1800+30,Standard,,
60m(30)+30m,30/3600:1800,Standard,,
120m+30spm,7200+30,Standard,,
20m,1200,Rapid,,
15m+10spm,900+10,Rapid,,
4m+2spm,240+2,Blitz,,
90m:60m+10spm(41),40/5400:3600+10,Standard,,
180m+15spm,10800+15,Standard,,
20m+10spm(1),1200+10,Rapid,,
130m+30spm,7800+30,Standard,,
115m+5spm,6900+5,Standard,,
100m:30m,40/6000:1800,Standard,,
120:60:15+30spm(61),40/7200:20/3600:900+30,Standard,,
7m+7spm,420+7,Rapid,,
30m+5spm,1800+5,Rapid,,
3m+1spm,180+1,Blitz,,
85m:25m,40/5100:1500,Standard,,
100:50:15+30spm(1),40/6000+30:20/3000+30:900+30,Standard,,
90m:15m:30spm(1),40/5400+30:900+30,Standard,,
80m+10spm,4800+10,Standard,,
30m+10spm,1800+10,Rapid,,
25m:5m+5spm(31),30/1500:300+5,Rapid,,
90m+30spm,5400+30,Standard,,
